goos: darwin
goarch: arm64
pkg: gol-wildfire/internal/bench
cpu: Apple M1
BenchmarkSnapshotEmpreinte/size=128-8         	   28130	     41010 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29174	     41055 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28988	     41040 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29163	     42150 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28830	     41546 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   28894	     41244 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29035	     41230 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29143	     41359 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   29134	     42177 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=128-8         	   27480	     41199 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2637514 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2638494 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2638767 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     453	   2640756 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2643765 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     452	   2644252 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotEmpreinte/size=1024-8        	     451	   2646190 ns/op	       0 B/op	       0 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51843934 ns/op	         0 %evites	       201.0 snapshots/op	   66884 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51774837 ns/op	         0 %evites	       201.0 snapshots/op	   56473 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=0-8          	      22	  51783519 ns/op	         0 %evites	       201.0 snapshots/op	   66892 B/op	    1207 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60045546 ns/op	         0 %evites	       201.0 snapshots/op	   56484 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60228579 ns/op	         0 %evites	       201.0 snapshots/op	   56493 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  59899083 ns/op	         0 %evites	       201.0 snapshots/op	   68556 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60388846 ns/op	         0 %evites	       201.0 snapshots/op	   56484 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60100763 ns/op	         0 %evites	       201.0 snapshots/op	   68556 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60052272 ns/op	         0 %evites	       201.0 snapshots/op	   68556 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60311154 ns/op	         0 %evites	       201.0 snapshots/op	   56493 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60181693 ns/op	         0 %evites	       201.0 snapshots/op	   56493 B/op	    1208 allocs/op
BenchmarkSnapshotSerie/format=proto/cache=1-8          	      19	  60137711 ns/op	         0 %evites	       201.0 snapshots/op	   56484 B/op	    1208 allocs/op
